Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),#MatchedPoints,MatchingTime(ms))
AKAZE,FREAK,5,1347,164,33.347,27.4,122,0.248
AKAZE,FREAK,6,1363,173,37.486,28.757,133,0.219
AKAZE,FREAK,7,1331,175,36.103,28.538,144,0.2
AKAZE,FREAK,8,1357,177,34.57,28.184,147,0.208
AKAZE,FREAK,9,1331,179,34.017,27.331,138,0.244
,,,,,,,,
AKAZE,AKAZE,0,1351,166,41.346,42.396,0,0
AKAZE,AKAZE,1,1327,157,34.028,31.945,138,0.22
AKAZE,AKAZE,2,1311,161,54.927,32.743,138,0.213
AKAZE,AKAZE,3,1351,155,54.501,30.751,133,0.134
AKAZE,AKAZE,4,1360,163,37.295,50.223,127,0.187
AKAZE,AKAZE,5,1347,164,56.292,49.251,129,0.19
AKAZE,AKAZE,6,1363,173,63.022,50.215,146,0.215
AKAZE,AKAZE,7,1331,175,49.724,38.932,147,0.21
AKAZE,AKAZE,8,1357,177,50.009,44.714,151,0.168
AKAZE,AKAZE,9,1331,179,39.574,49.867,150,0.203
,,,,,,,,
AKAZE,SIFT,0,1351,166,48.53,15.716,0,0
AKAZE,SIFT,1,1327,157,38.085,15.518,134,0.165
AKAZE,SIFT,2,1311,161,34.233,15.131,134,0.158
AKAZE,SIFT,3,1351,155,35.364,15.12,130,0.188
AKAZE,SIFT,4,1360,163,32.508,17.498,136,0.2
AKAZE,SIFT,5,1347,164,50.552,15.271,137,0.161
AKAZE,SIFT,6,1363,173,35.622,19.15,147,0.185
AKAZE,SIFT,7,1331,175,47.791,15.6,147,0.176
AKAZE,SIFT,8,1357,177,37.289,15.777,154,0.181
AKAZE,SIFT,9,1331,179,33.489,16.055,151,0.217
,,,,,,,,
SIFT,BRISK,0,1438,138,97.342,1.127,0,0
SIFT,BRISK,1,1371,132,59.665,1.062,64,0.198
SIFT,BRISK,2,1380,124,63.956,0.998,66,0.191
SIFT,BRISK,3,1335,137,95.249,1.087,62,0.194
SIFT,BRISK,4,1305,134,89.192,1.463,66,0.208
SIFT,BRISK,5,1370,140,104.677,1.595,59,0.216
SIFT,BRISK,6,1396,137,111.559,1.116,64,0.206
SIFT,BRISK,7,1382,148,112.169,1.211,64,0.207
SIFT,BRISK,8,1463,159,99.413,1.229,67,0.201
SIFT,BRISK,9,1422,137,97.843,1.086,80,0.217
,,,,,,,,
SIFT,BRIEF,0,1438,138,105.102,0.845,0,0
SIFT,BRIEF,1,1371,132,105.068,0.463,86,0.166
SIFT,BRIEF,2,1380,124,104.401,0.511,78,0.182
SIFT,BRIEF,3,1335,137,107.578,0.502,76,0.152
SIFT,BRIEF,4,1305,134,108.566,0.499,85,0.162
SIFT,BRIEF,5,1370,140,104.715,0.502,69,0.174
SIFT,BRIEF,6,1396,137,104.498,0.471,74,0.171
SIFT,BRIEF,7,1382,148,98.889,0.524,76,0.182
SIFT,BRIEF,8,1463,159,98.532,0.513,70,0.174
SIFT,BRIEF,9,1422,137,97.682,0.455,88,0.178
,,,,,,,,
SIFT,ORB,0,0,0,0,0,0,0
SIFT,ORB,1,0,0,0,0,0,0
SIFT,ORB,2,0,0,0,0,0,0
SIFT,ORB,3,0,0,0,0,0,0
SIFT,ORB,4,0,0,0,0,0,0
SIFT,ORB,5,0,0,0,0,0,0
SIFT,ORB,6,0,0,0,0,0,0
SIFT,ORB,7,0,0,0,0,0,0
SIFT,ORB,8,0,0,0,0,0,0
SIFT,ORB,9,0,0,0,0,0,0
,,,,,,,,
SIFT,FREAK,0,1438,138,98.964,28.151,0,0
SIFT,FREAK,1,1371,132,97.296,27.324,65,0.174
SIFT,FREAK,2,1380,124,97.565,28.092,72,0.181
SIFT,FREAK,3,1335,137,100.041,28.548,64,0.203
SIFT,FREAK,4,1305,134,97.655,28.056,66,0.2
SIFT,FREAK,5,1370,140,96.384,26.797,59,0.193
SIFT,FREAK,6,1396,137,99.618,26.941,59,0.193
SIFT,FREAK,7,1382,148,95.428,27.111,64,0.19
SIFT,FREAK,8,1463,159,98.867,29.004,65,0.529
SIFT,FREAK,9,1422,137,97.688,27.233,79,0.199
,,,,,,,,
SIFT,AKAZE,0,0,0,0,0,0,0
SIFT,AKAZE,1,0,0,0,0,0,0
SIFT,AKAZE,2,0,0,0,0,0,0
SIFT,AKAZE,3,0,0,0,0,0,0
SIFT,AKAZE,4,0,0,0,0,0,0
SIFT,AKAZE,5,0,0,0,0,0,0
SIFT,AKAZE,6,0,0,0,0,0,0
SIFT,AKAZE,7,0,0,0,0,0,0
SIFT,AKAZE,8,0,0,0,0,0,0
SIFT,AKAZE,9,0,0,0,0,0,0
,,,,,,,,
SIFT,SIFT,0,1438,138,96.162,91.329,0,0
SIFT,SIFT,1,1371,132,97.469,92.6,82,0.209
SIFT,SIFT,2,1380,124,95.551,92.16,81,0.209
SIFT,SIFT,3,1335,137,102.025,91.61,85,0.216
SIFT,SIFT,4,1305,134,96.223,96.248,93,0.198
SIFT,SIFT,5,1370,140,97.377,99.711,90,0.251
SIFT,SIFT,6,1396,137,102.735,102.405,81,0.205
SIFT,SIFT,7,1382,148,105.836,99.81,82,0.221
SIFT,SIFT,8,1463,159,104.261,92.81,102,0.232
SIFT,SIFT,9,1422,137,96.759,95.843,104,0.238
